Date,Symbol,Open,Close,High,Low,Volume
2006-10-20,SPY,108.967842760932,108.967842760932,109.055438288716,108.561726511111,48094500.0
2006-10-23,SPY,108.74487594619,109.4695256591,109.732311446136,108.609503066601,66219900.0
2006-10-24,SPY,109.318224075751,109.796018298017,109.835824529259,109.270446723946,53234900.0
2006-10-25,SPY,109.68453409433,110.170287492423,110.218064844228,109.50137351083,78105400.0
2006-10-26,SPY,110.417143779383,110.512697686678,110.68788794593,109.875642705237,66843700.0
2006-10-27,SPY,110.377325603405,109.819906973919,110.488809010776,109.596939362862,80238000.0
2006-10-30,SPY,109.620828038765,109.740270621963,110.050832964488,109.413777983047,49717800.0
2006-10-31,SPY,109.947319881365,109.724340325572,110.098610316294,109.294335399848,71274100.0
2006-11-01,SPY,110.066762464564,108.983773057323,110.138428492272,108.872288853636,83005600.0
2006-11-02,SPY,108.705057770212,108.920066205442,109.103215640521,108.585615187014,60693100.0
2006-11-03,SPY,109.310264899924,108.728945649799,109.405818807219,107.996336761062,71346400.0
2006-11-06,SPY,109.063409409279,109.955279057193,110.114539816369,109.055438288716,63303300.0
2006-11-07,SPY,110.050832964488,110.377325603405,110.671958445855,109.891572205312,63318900.0
2006-11-08,SPY,109.891572205312,110.616222714538,110.727706121908,108.983773057323,87517800.0
2006-11-09,SPY,110.695847121758,110.034903464413,110.799371353301,109.811935853356,95916300.0
2006-11-10,SPY,110.003055612683,110.082691964639,110.162316371859,109.668604594255,48991500.0
2006-11-13,SPY,110.034903464413,110.353436927502,110.719735001345,109.947319881365,59398200.0
2006-11-14,SPY,110.663999270027,111.181599723535,111.277165575566,109.987126112607,96704000.0
2006-11-15,SPY,111.141793492293,111.500133186624,111.842543380879,111.109934492142,76509600.0
2006-11-16,SPY,111.834584205052,111.786807649562,112.025692815959,111.078086640412,76728800.0
2006-11-17,SPY,111.428456010495,111.818654704977,111.826613880804,111.269195251319,56353800.0
2006-11-20,SPY,111.723100797681,111.882361556858,112.073481316185,111.436426334743,69174200.0
2006-11-21,SPY,111.87440238103,111.993844964228,112.017733640131,111.715129677118,51367900.0
2006-11-22,SPY,112.081440492012,112.216812575286,112.407933130928,111.882361556858,45505300.0
2006-11-24,SPY,111.675323445875,111.762918973659,112.153105723405,111.643464445725,30998000.0
2006-11-27,SPY,111.707171297606,110.22602322374,111.762918973659,110.194176168326,84545100.0
2006-11-28,SPY,110.082691964639,110.703817446006,110.815301649692,109.979167733096,106652900.0
2006-11-29,SPY,111.062157140337,111.858472880955,111.90625023276,110.751594797811,90034900.0
2006-11-30,SPY,111.834584205052,111.90625023276,112.320337603145,111.293083927221,83994300.0
2006-12-01,SPY,111.90625023276,111.6593939458,112.009775260619,110.663999270027,126080000.0
2006-12-04,SPY,111.683282621703,112.511445417736,112.718495473454,111.667353121628,87813200.0
2006-12-05,SPY,112.726454649281,112.997198815829,113.04498811237,112.487557538149,73374400.0
2006-12-06,SPY,112.973310139926,112.901644908533,113.132582843838,112.678677297476,53253200.0
2006-12-07,SPY,113.100723843688,112.407933130928,113.315732278918,112.36811495495,62857400.0
2006-12-08,SPY,112.384044455026,112.614970445595,112.997198815829,112.105329167915,79625500.0
2006-12-11,SPY,112.614970445595,112.941463084511,113.148500399178,112.551263593714,39779400.0
2006-12-12,SPY,112.829978880825,112.853867556727,112.973310139926,112.192923899383,77451600.0
2006-12-13,SPY,113.259984602864,112.973310139926,113.347579334332,112.726454649281,55520200.0
2006-12-14,SPY,112.965351760414,113.968704815699,114.06427066773,112.949421464023,64755200.0
2006-12-15,SPY,114.219285763664,113.979057716642,114.419473800968,113.89898970849,70857400.0
2006-12-18,SPY,114.139205744229,113.6667651792,114.411471083989,113.506617151612,48954600.0
2006-12-19,SPY,113.346469124025,113.882971462497,114.155224790975,113.058197549555,65023600.0
2006-12-20,SPY,113.931014989946,113.818909689055,114.235304810409,113.714808706648,41469600.0
2006-12-21,SPY,113.923011472214,113.402515368453,114.051123007815,113.162299332714,48698400.0
2006-12-22,SPY,113.418533614446,112.705865002395,113.426537132178,112.641803228953,62069100.0
2006-12-26,SPY,112.753908529843,113.37049088775,113.394512651474,112.729886766119,32696900.0
2006-12-27,SPY,113.602703405758,114.115184781257,114.18726128296,113.570678925054,39727100.0
